pl,sg,broad_category,category,synset
tyrannies,tyranny,noun.group,noun.group.political_system,dictatorship.n.01
shoeboxes,shoebox,noun.artifact,noun.artifact,shoebox.n.01
hourglasses,hourglass,noun.artifact,noun.artifact.measuring_instrument,hourglass.n.01
cosigners,cosigner,noun.person,noun.person,cosigner.n.01
stags,stag,noun.animal,noun.animal.ungulate,hart.n.03
disrespects,disrespect,noun.communication,noun.communication.disrespect,disrespect.n.01
hesitations,hesitation,noun.cognition,noun.cognition.psychological_state,hesitation.n.01
retainers,retainer,noun.possession,noun.possession.transferred_property,retainer.n.01
unrests,unrest,noun.state,noun.state.disorder,agitation.n.02
freestyles,freestyle,noun.event,noun.event.social_event,freestyle.n.01
scapes,scape,noun.plant,noun.plant.stalk,scape.n.01
cabanas,cabana,noun.artifact,noun.artifact.shelter,cabana.n.01
rightists,rightist,noun.person,noun.person.adult,rightist.n.01
pantomimes,pantomime,noun.act,noun.act.humanistic_discipline,mime.n.02
screwdrivers,screwdriver,noun.artifact,noun.artifact.tool,screwdriver.n.01
mensches,mensch,noun.person,noun.person.good_person,mensch.n.01
infernos,inferno,noun.location,noun.location.region,hell.n.01
signifiers,signifier,noun.communication,noun.communication.language_unit,form.n.01
binaries,binary,noun.object,noun.object.celestial_body,binary_star.n.01
creoles,creole,noun.person,noun.person.inhabitant,creole.n.01
insurrections,insurrection,noun.act,noun.act.conflict,rebellion.n.02
accreditations,accreditation,noun.act,noun.act.social_control,accreditation.n.01
paramilitaries,paramilitary,noun.group,noun.group.force,paramilitary.n.01
bottlenecks,bottleneck,noun.shape,noun.shape,constriction.n.01
brokerages,brokerage,noun.group,noun.group.institution,brokerage.n.01
howlers,howler,noun.communication,noun.communication.wit,belly_laugh.n.02
blitzes,blitz,noun.act,noun.act.motion,safety_blitz.n.01
bloodlines,bloodline,noun.group,noun.group.kin,lineage.n.01
disconnections,disconnection,noun.state,noun.state.separation,disjunction.n.01
mammographies,mammography,noun.act,noun.act.procedure,mammography.n.01
leas,lea,noun.quantity,noun.quantity.linear_unit,lea.n.01
scepters,scepter,noun.state,noun.state,scepter.n.01
bams,bam,noun.location,noun.location,bam.n.01
diesels,diesel,noun.person,noun.person,diesel.n.01
landmasses,landmass,noun.object,noun.object.land,landmass.n.01
swathes,swath,noun.quantity,noun.quantity,swath.n.01
gypsies,gypsy,noun.person,noun.person.employee,itinerant.n.01
beatitudes,beatitude,noun.state,noun.state,blessedness.n.01
spates,spate,noun.quantity,noun.quantity.indefinite_quantity,batch.n.02
drizzles,drizzle,noun.phenomenon,noun.phenomenon.physical_phenomenon,drizzle.n.01
confectionaries,confectionary,noun.artifact,noun.artifact.establishment,confectionery.n.02
wiggles,wiggle,noun.act,noun.act.motion,wiggle.n.01
breadbaskets,breadbasket,noun.location,noun.location.region,breadbasket.n.01
parlays,parlay,noun.act,noun.act.wrongdoing,parlay.n.01
molts,molt,noun.process,noun.process.organic_process,molt.n.01
gingers,ginger,noun.plant,noun.plant,ginger.n.01
solicitors,solicitor,noun.person,noun.person.applicant,solicitor.n.01
dugongs,dugong,noun.animal,noun.animal.aquatic_mammal,dugong.n.01
masseuses,masseuse,noun.person,noun.person.expert,masseuse.n.01
catacombs,catacomb,noun.artifact,noun.artifact.way,catacomb.n.01
glades,glade,noun.location,noun.location.region,clearing.n.01
regurgitations,regurgitation,noun.event,noun.event.movement,regurgitation.n.01
frosts,frost,noun.substance,noun.substance.crystal,frost.n.01
coordinations,coordination,noun.cognition,noun.cognition,coordination.n.01
garlics,garlic,noun.plant,noun.plant.bulbous_plant,garlic.n.01
